model,architecture,condition,metric,n,mean,sd,median,q1,q3,min,max
gpt-4o,ACT+Debugger,primary,halstead_difficulty,164,2.36129148240534,1.8177144950905226,2.0,1.0,3.3333333333333335,0.0,8.333333333333334
gpt-4o,ACT+Debugger,primary,halstead_effort,164,242.38437815504088,439.9670444819209,78.38457593812329,11.60964047443681,262.59472122879913,0.0,3231.203125901445
gpt-4o,Basic,passing,loc,127,6.228346456692913,4.298742851257487,6.0,2.0,8.0,2.0,26.0
gpt-4o,Basic,passing,sloc,127,5.889763779527559,3.99449690190299,5.0,2.0,8.0,2.0,22.0
gpt-4o,Basic,passing,comments,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,Basic,passing,multi,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,Basic,passing,blank,127,0.33858267716535434,0.5938904880203335,0.0,0.0,1.0,0.0,4.0
gpt-4o,Basic,passing,cc,127,3.2125984251968505,2.0143529476671356,3.0,2.0,4.0,1.0,14.0
gpt-4o,Basic,passing,halstead_volume,127,40.03801838300613,58.80960125989106,15.509775004326936,4.754887502163469,51.89147427955947,0.0,292.57485892279027
gpt-4o,Basic,passing,halstead_difficulty,127,1.6858700986598891,1.6084727308564217,1.0,0.5,2.5,0.0,6.3
gpt-4o,Basic,passing,halstead_effort,127,148.28920784334557,323.56491665396413,15.509775004326936,2.3774437510817346,127.35019230831443,0.0,1647.568519499642
gpt-4o,AC,passing,loc,127,8.771653543307087,4.285799690854232,8.0,6.0,11.0,2.0,26.0
gpt-4o,AC,passing,sloc,127,8.251968503937007,3.92785838480254,8.0,6.0,10.0,2.0,24.0
gpt-4o,AC,passing,comments,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,AC,passing,multi,127,0.047244094488188976,0.5324139056496678,0.0,0.0,0.0,0.0,6.0
gpt-4o,AC,passing,blank,127,0.47244094488188976,0.77487092272303,0.0,0.0,1.0,0.0,4.0
gpt-4o,AC,passing,cc,127,3.937007874015748,2.1147555357837424,4.0,3.0,5.0,1.0,14.0
gpt-4o,AC,passing,halstead_volume,127,51.81955493548034,59.130121080528966,38.03910001730775,11.60964047443681,69.47456118269028,0.0,323.85477931016226
gpt-4o,AC,passing,halstead_difficulty,127,2.159464477982207,1.6329386176438718,1.8,1.0,3.190909090909091,0.0,6.695652173913044
gpt-4o,AC,passing,halstead_effort,127,191.37373925141313,329.4053412048882,68.33680652339717,10.559707739381874,214.8789827584685,0.0,2168.418957120217
gpt-4o,ACT,passing,loc,127,8.700787401574804,4.660395379081461,9.0,6.0,11.0,2.0,26.0
gpt-4o,ACT,passing,sloc,127,8.125984251968504,4.237010262909921,8.0,5.0,10.5,2.0,24.0
gpt-4o,ACT,passing,comments,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,ACT,passing,multi,127,0.047244094488188976,0.5324139056496678,0.0,0.0,0.0,0.0,6.0
gpt-4o,ACT,passing,blank,127,0.5275590551181102,0.9157074778426122,0.0,0.0,1.0,0.0,6.0
gpt-4o,ACT,passing,cc,127,3.9921259842519685,2.183982320819652,4.0,3.0,5.0,1.0,16.0
gpt-4o,ACT,passing,halstead_volume,127,48.830999752104184,54.34491368456496,38.03910001730775,11.60964047443681,66.60791492653966,0.0,323.85477931016226
gpt-4o,ACT,passing,halstead_difficulty,127,2.139754751701456,1.6319986916056755,2.0,0.875,3.1625,0.0,7.2
gpt-4o,ACT,passing,halstead_effort,127,174.90052854893716,307.5049310513844,76.0782000346155,11.60964047443681,203.63196296244962,0.0,2168.418957120217
gpt-4o,Debugger,passing,loc,127,6.448818897637795,4.966089230442745,5.0,2.0,9.0,2.0,31.0
gpt-4o,Debugger,passing,sloc,127,6.070866141732283,4.594995729245134,5.0,2.0,8.0,2.0,28.0
gpt-4o,Debugger,passing,comments,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,Debugger,passing,multi,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,Debugger,passing,blank,127,0.3779527559055118,0.6658224876435674,0.0,0.0,1.0,0.0,4.0
gpt-4o,Debugger,passing,cc,127,3.236220472440945,1.8791111243544887,3.0,2.0,4.0,1.0,11.0
gpt-4o,Debugger,passing,halstead_volume,127,43.472521767350266,62.049959244992486,15.509775004326936,4.754887502163469,53.77443751081735,0.0,274.01923055728344
gpt-4o,Debugger,passing,halstead_difficulty,127,1.725520161724789,1.67033540332176,1.0,0.5,2.5,0.0,6.3
gpt-4o,Debugger,passing,halstead_effort,127,163.87548021691035,336.1643939620584,15.509775004326936,2.3774437510817346,137.27153716592696,0.0,1647.568519499642
gpt-4o,AC+Debugger,passing,loc,127,6.409448818897638,4.835966984783422,6.0,2.0,8.0,2.0,31.0
gpt-4o,AC+Debugger,passing,sloc,127,6.047244094488189,4.482520315230367,5.0,2.0,8.0,2.0,28.0
gpt-4o,AC+Debugger,passing,comments,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,AC+Debugger,passing,multi,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,AC+Debugger,passing,blank,127,0.36220472440944884,0.5998583343151482,0.0,0.0,1.0,0.0,3.0
gpt-4o,AC+Debugger,passing,cc,127,3.141732283464567,1.762593730250326,3.0,2.0,4.0,1.0,10.0
gpt-4o,AC+Debugger,passing,halstead_volume,127,44.43497222284861,69.30969214480317,15.509775004326936,4.754887502163469,52.832955895188405,0.0,430.83783257244704
gpt-4o,AC+Debugger,passing,halstead_difficulty,127,1.7091050631278095,1.6612926159879164,1.0,0.5,2.5,0.0,6.416666666666667
gpt-4o,AC+Debugger,passing,halstead_effort,127,164.66090286169285,343.235028595488,15.509775004326936,2.3774437510817346,134.43609377704337,0.0,1501.41940259991
gpt-4o,ACT+Debugger,passing,loc,127,8.89763779527559,4.745649044324024,9.0,6.0,11.0,2.0,26.0
gpt-4o,ACT+Debugger,passing,sloc,127,8.377952755905511,4.382376563801499,8.0,5.5,11.0,2.0,24.0
gpt-4o,ACT+Debugger,passing,comments,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,ACT+Debugger,passing,multi,127,0.047244094488188976,0.5324139056496678,0.0,0.0,0.0,0.0,6.0
gpt-4o,ACT+Debugger,passing,blank,127,0.47244094488188976,0.8621380920355989,0.0,0.0,1.0,0.0,5.0
gpt-4o,ACT+Debugger,passing,cc,127,3.9448818897637796,1.9326233779140447,4.0,3.0,5.0,1.0,12.0
