model,metric,condition,arch_a,arch_b,layers,mechanism,n,wilcoxon_stat,p_raw,p_holm,significant,rank_biserial,rrb_magnitude,median_diff,higher_complexity
gpt-4o,sloc,passing,Debugger,AC+Debugger,R,Single,127,32.0,0.9287300745648026,1.0,False,-0.030303030303030304,negligible,0.0,AC+Debugger
gpt-4o,sloc,passing,Debugger,ACT+Debugger,"R,T",Compound,127,293.5,2.324299234486312e-12,2.5567291579349432e-11,True,-0.8534332084893883,large,-3.0,ACT+Debugger
gpt-4o,sloc,passing,AC+Debugger,ACT+Debugger,T,Single,127,262.0,1.4478106664218047e-12,1.7373727997061655e-11,True,-0.8661899897854954,large,-3.0,ACT+Debugger
gpt-4o,cc,passing,Basic,AC,R,Single,127,249.5,1.969342053613858e-06,1.969342053613858e-05,True,-0.7083576855639977,large,-1.0,AC
gpt-4o,cc,passing,Basic,ACT,"R,T",Compound,127,236.5,6.908985757727717e-07,8.981681485046032e-06,True,-0.7327683615819209,large,-1.0,ACT
gpt-4o,cc,passing,Basic,Debugger,D,Single,127,11.0,0.3148287568981609,1.0,False,-0.3888888888888889,moderate,0.0,Debugger
gpt-4o,cc,passing,Basic,AC+Debugger,"R,D",Compound,127,24.0,0.719349055744894,1.0,False,0.12727272727272726,small,0.0,Basic
gpt-4o,cc,passing,Basic,ACT+Debugger,"R,T,D",Compound,127,311.0,1.3395203503118131e-06,1.4734723853429944e-05,True,-0.691468253968254,large,-1.0,ACT+Debugger
gpt-4o,cc,passing,AC,ACT,T,Single,127,222.5,0.6052666306124982,1.0,False,-0.1028225806451613,small,0.0,ACT
gpt-4o,cc,passing,AC,Debugger,R<->D,Swap,127,253.5,6.724415696605974e-06,5.379532557284779e-05,True,0.6823308270676691,large,1.0,AC
gpt-4o,cc,passing,AC,AC+Debugger,D,Single,127,211.5,4.1733801031626594e-07,5.842732144427723e-06,True,0.7527761542957335,large,1.0,AC
gpt-4o,cc,passing,AC,ACT+Debugger,"T,D",Compound,127,213.5,0.691656022939087,1.0,False,-0.08172043010752689,negligible,0.0,ACT+Debugger
gpt-4o,cc,passing,ACT,Debugger,"R,T,D",Compound,127,251.0,1.102254142456126e-05,7.715778997192882e-05,True,0.674025974025974,large,1.0,ACT
gpt-4o,cc,passing,ACT,AC+Debugger,T<->D,Swap,127,225.5,7.806972030805056e-07,9.368366436966068e-06,True,0.7364114552893045,large,1.0,ACT
