model,metric,condition,arch_a,arch_b,layers,mechanism,n,wilcoxon_stat,p_raw,p_holm,significant,rank_biserial,rrb_magnitude,median_diff,higher_complexity
gpt-4o-mini,halstead_difficulty,primary,Basic,ACT+Debugger,"R,T,D",Compound,164,947.5,3.728266595212513e-14,5.592399892818769e-13,True,-0.7704699612403101,large,-0.9722222222222223,ACT+Debugger
gpt-4o-mini,halstead_difficulty,primary,AC,ACT,T,Single,164,2315.0,0.9620876183121533,1.0,False,-0.005584192439862543,negligible,0.023809523809523725,ACT
gpt-4o-mini,halstead_difficulty,primary,AC,Debugger,R<->D,Swap,164,1277.5,3.287289600115514e-11,2.9585606401039627e-10,True,0.6806649168853893,large,0.8095238095238093,AC
gpt-4o-mini,halstead_difficulty,primary,AC,AC+Debugger,D,Single,164,1192.5,1.3158704808052133e-11,1.3158704808052134e-10,True,0.6971428571428572,large,0.8095238095238093,AC
gpt-4o-mini,halstead_difficulty,primary,AC,ACT+Debugger,"T,D",Compound,164,1781.0,0.28339716756177535,1.0,False,-0.13015873015873017,small,-0.162698412698413,ACT+Debugger
gpt-4o-mini,halstead_difficulty,primary,ACT,Debugger,"R,T,D",Compound,164,1385.0,6.624999747759044e-11,5.299999798207235e-10,True,0.6644864341085271,large,0.7857142857142856,ACT
gpt-4o-mini,halstead_difficulty,primary,ACT,AC+Debugger,T<->D,Swap,164,1468.5,1.4685960404714586e-10,1.028017228330021e-09,True,0.649731663685152,large,0.7857142857142856,ACT
gpt-4o-mini,halstead_difficulty,primary,ACT,ACT+Debugger,D,Single,164,2003.5,0.30447022218828257,1.0,False,-0.1212719298245614,small,-0.18650793650793673,ACT+Debugger
gpt-4o-mini,halstead_difficulty,primary,Debugger,AC+Debugger,R,Single,164,63.0,0.5227810104666994,1.0,False,-0.17647058823529413,small,0.0,AC+Debugger
gpt-4o-mini,halstead_difficulty,primary,Debugger,ACT+Debugger,"R,T",Compound,164,1191.0,2.7590186747324973e-12,3.3108224096789966e-11,True,-0.7114825581395349,large,-0.9722222222222223,ACT+Debugger
gpt-4o-mini,halstead_difficulty,primary,AC+Debugger,ACT+Debugger,T,Single,164,1133.0,1.0197548854890605e-12,1.4276568396846847e-11,True,-0.7255329457364341,large,-0.9722222222222223,ACT+Debugger
gpt-4o-mini,halstead_effort,primary,Basic,AC,R,Single,164,1636.5,3.1194104006350127e-09,3.431351440698514e-08,True,-0.6035610465116279,large,-59.13567084017694,AC
gpt-4o-mini,halstead_effort,primary,Basic,ACT,"R,T",Compound,164,1614.0,1.7534885833457884e-10,2.4548840166841036e-09,True,-0.6377510941532937,large,-73.80131728667973,ACT
gpt-4o-mini,halstead_effort,primary,Basic,Debugger,D,Single,164,126.0,0.326049462728915,1.0,False,-0.2246153846153846,small,0.0,Debugger
gpt-4o-mini,halstead_effort,primary,Basic,AC+Debugger,"R,D",Compound,164,115.0,0.20122181638043513,1.0,False,-0.2923076923076923,small,0.0,AC+Debugger
gpt-4o-mini,halstead_effort,primary,Basic,ACT+Debugger,"R,T,D",Compound,164,1283.0,4.783154228999649e-12,7.174731343499473e-11,True,-0.6986494421608925,large,-80.10767252552894,ACT+Debugger
gpt-4o-mini,halstead_effort,primary,AC,ACT,T,Single,164,2413.0,0.8286775514211796,1.0,False,-0.025050505050505052,negligible,-14.665646446502791,ACT
gpt-4o-mini,halstead_effort,primary,AC,Debugger,R<->D,Swap,164,1773.5,2.151202956876953e-08,1.9360826611892576e-07,True,0.5703730620155039,large,59.13567084017694,AC
gpt-4o-mini,halstead_effort,primary,AC,AC+Debugger,D,Single,164,1765.0,3.168832272076446e-08,2.5350658176611566e-07,True,0.5656988188976378,large,59.13567084017694,AC
gpt-4o-mini,halstead_effort,primary,AC,ACT+Debugger,"T,D",Compound,164,2055.5,0.5044805268791392,1.0,False,-0.07928331466965285,negligible,-20.972001685351998,ACT+Debugger
gpt-4o-mini,halstead_effort,primary,ACT,Debugger,"R,T,D",Compound,164,1825.0,1.581940771177308e-08,1.5819407711773079e-07,True,0.5713446858485026,large,73.80131728667973,ACT
gpt-4o-mini,halstead_effort,primary,ACT,AC+Debugger,T<->D,Swap,164,2004.5,1.0029409139666907e-07,7.020586397766835e-07,True,0.5363173721952348,large,73.80131728667973,ACT
gpt-4o-mini,halstead_effort,primary,ACT,ACT+Debugger,D,Single,164,2296.0,0.5321257982442746,1.0,False,-0.07232323232323232,negligible,-6.306355238849207,ACT+Debugger
gpt-4o-mini,halstead_effort,primary,Debugger,AC+Debugger,R,Single,164,56.0,0.33183160809268897,1.0,False,-0.2679738562091503,small,0.0,AC+Debugger
gpt-4o-mini,halstead_effort,primary,Debugger,ACT+Debugger,"R,T",Compound,164,1679.0,2.0768793712887266e-09,2.4922552455464717e-08,True,-0.6056371109806225,large,-80.10767252552894,ACT+Debugger
gpt-4o-mini,halstead_effort,primary,AC+Debugger,ACT+Debugger,T,Single,164,1592.0,5.871520121446752e-10,7.632976157880777e-09,True,-0.6260716382853787,large,-80.10767252552894,ACT+Debugger
gpt-4o-mini,sloc,passing,Basic,AC,R,Single,124,290.0,3.311315762319818e-15,4.9669736434797274e-14,True,-0.8917102315160568,large,-3.0,AC
gpt-4o-mini,sloc,passing,Basic,ACT,"R,T",Compound,124,389.0,1.7288685906606746e-14,2.0746423087928094e-13,True,-0.8601976639712489,large,-3.0,ACT
gpt-4o-mini,sloc,passing,Basic,Debugger,D,Single,124,10.0,0.495868184540851,1.0,False,-0.2857142857142857,small,0.0,Debugger
gpt-4o-mini,sloc,passing,Basic,AC+Debugger,"R,D",Compound,124,28.0,0.6553647804541406,1.0,False,0.15151515151515152,small,0.0,Basic
gpt-4o-mini,sloc,passing,Basic,ACT+Debugger,"R,T,D",Compound,124,280.0,1.030993142066405e-14,1.4433903988929668e-13,True,-0.8891089108910891,large,-3.0,ACT+Debugger
gpt-4o-mini,sloc,passing,AC,ACT,T,Single,124,983.0,0.7012038127386688,1.0,False,0.05480769230769231,negligible,0.0,AC
gpt-4o-mini,sloc,passing,AC,Debugger,R<->D,Swap,124,354.0,2.8370157081755465e-14,2.553314137357992e-13,True,0.86521987435751,large,3.0,AC
gpt-4o-mini,sloc,passing,AC,AC+Debugger,D,Single,124,333.0,1.0376759904745333e-14,1.4433903988929668e-13,True,0.8756534727408514,large,3.0,AC
gpt-4o-mini,sloc,passing,AC,ACT+Debugger,"T,D",Compound,124,865.5,0.7132918498119628,1.0,False,-0.054098360655737705,negligible,0.0,ACT+Debugger
gpt-4o-mini,sloc,passing,ACT,Debugger,"R,T,D",Compound,124,444.0,1.0949313499769073e-13,8.759450799815258e-13,True,0.8373626373626374,large,3.0,ACT
gpt-4o-mini,sloc,passing,ACT,AC+Debugger,T<->D,Swap,124,377.0,2.0726982270974388e-14,2.2799680498071827e-13,True,0.861904761904762,large,3.0,ACT
gpt-4o-mini,sloc,passing,ACT,ACT+Debugger,D,Single,124,1012.5,0.6925457086665321,1.0,False,-0.055944055944055944,negligible,0.0,ACT+Debugger
gpt-4o-mini,sloc,passing,Debugger,AC+Debugger,R,Single,124,8.0,0.30701389803382517,1.0,False,0.42857142857142855,moderate,0.0,Debugger
gpt-4o-mini,sloc,passing,Debugger,ACT+Debugger,"R,T",Compound,124,392.5,1.2519513292717774e-13,8.763659304902442e-13,True,-0.8476024072995535,large,-3.0,ACT+Debugger
gpt-4o-mini,sloc,passing,AC+Debugger,ACT+Debugger,T,Single,124,327.5,2.3195756519312374e-14,2.3195756519312373e-13,True,-0.8728402251989905,large,-3.0,ACT+Debugger
gpt-4o-mini,cc,passing,Basic,AC,R,Single,124,195.0,8.598495685171605e-12,8.598495685171606e-11,True,-0.8765822784810127,large,-1.0,AC
gpt-4o-mini,cc,passing,Basic,ACT,"R,T",Compound,124,265.0,4.9808359738584674e-11,3.984668779086774e-10,True,-0.8364197530864198,large,-1.0,ACT
gpt-4o-mini,cc,passing,Basic,Debugger,D,Single,124,9.0,0.7518296340458492,1.0,False,-0.14285714285714285,small,0.0,Debugger
gpt-4o-mini,cc,passing,Basic,AC+Debugger,"R,D",Compound,124,4.5,0.8539232992870668,1.0,False,0.1,small,0.0,Basic
gpt-4o-mini,cc,passing,Basic,ACT+Debugger,"R,T,D",Compound,124,170.5,2.2580018297743606e-13,3.161202561684105e-12,True,-0.906703146374829,large,-1.0,ACT+Debugger
gpt-4o-mini,cc,passing,AC,ACT,T,Single,124,548.0,0.37658463585158486,1.0,False,0.1403921568627451,small,0.0,AC
gpt-4o-mini,cc,passing,AC,Debugger,R<->D,Swap,124,163.5,7.096780798798249e-12,7.806458878678074e-11,True,0.8911088911088911,large,1.0,AC
gpt-4o-mini,cc,passing,AC,AC+Debugger,D,Single,124,99.0,1.011278120936386e-12,1.2135337451236633e-11,True,0.9323308270676691,large,1.0,AC
gpt-4o-mini,cc,passing,AC,ACT+Debugger,"T,D",Compound,124,460.5,0.3694690757900396,1.0,False,-0.14801110083256244,small,0.0,ACT+Debugger
gpt-4o-mini,cc,passing,ACT,Debugger,"R,T,D",Compound,124,282.0,8.677323706207059e-11,6.074126594344941e-10,True,0.825925925925926,large,1.0,ACT
gpt-4o-mini,cc,passing,ACT,AC+Debugger,T<->D,Swap,124,212.5,1.3820490680586568e-11,1.2438441612527912e-10,True,0.865506329113924,large,1.0,ACT
gpt-4o-mini,cc,passing,ACT,ACT+Debugger,D,Single,124,403.0,0.028933143384665357,0.17359886030799215,False,-0.3420408163265306,moderate,0.0,ACT+Debugger
gpt-4o-mini,cc,passing,Debugger,AC+Debugger,R,Single,124,1.0,0.6547208460185769,1.0,False,0.3333333333333333,moderate,0.0,Debugger
gpt-4o-mini,cc,passing,Debugger,ACT+Debugger,"R,T",Compound,124,178.5,4.808575876923957e-13,6.251148640001144e-12,True,-0.9,large,-1.0,ACT+Debugger
gpt-4o-mini,cc,passing,AC+Debugger,ACT+Debugger,T,Single,124,105.5,6.122289803458511e-14,9.183434705187768e-13,True,-0.9394721744119334,large,-1.0,ACT+Debugger
gpt-4o-mini,halstead_volume,passing,Basic,AC,R,Single,124,501.0,1.0865980623216781e-10,1.4125774810181816e-09,True,-0.7707618393960192,large,-20.623361339755817,AC
gpt-4o-mini,halstead_volume,passing,Basic,ACT,"R,T",Compound,124,636.0,6.281209179267073e-10,6.909330097193781e-09,True,-0.7268041237113402,large,-21.528056006574857,ACT
gpt-4o-mini,halstead_volume,passing,Basic,Debugger,D,Single,124,8.0,0.04685328478814714,0.2811197087288828,False,-0.7090909090909091,large,-4.113595294919634,Debugger
gpt-4o-mini,halstead_volume,passing,Basic,AC+Debugger,"R,D",Compound,124,24.0,0.4235963177660037,1.0,False,-0.2727272727272727,small,-1.4013076744690807,AC+Debugger
gpt-4o-mini,halstead_volume,passing,Basic,ACT+Debugger,"R,T,D",Compound,124,459.5,3.242732168764484e-12,4.864098253146726e-11,True,-0.8105545248402392,large,-23.178098291574074,ACT+Debugger
gpt-4o-mini,halstead_volume,passing,AC,ACT,T,Single,124,964.0,0.3660400492968007,1.0,False,0.127996381727725,small,-0.9046946668190401,AC
gpt-4o-mini,halstead_volume,passing,AC,Debugger,R<->D,Swap,124,653.0,7.1917466529247885e-09,6.47257198763231e-08,True,0.6947171575502571,large,16.509766044836184,AC
gpt-4o-mini,halstead_volume,passing,AC,AC+Debugger,D,Single,124,475.0,1.5139705876515216e-10,1.8167647051818259e-09,True,0.7730530339225992,large,19.222053665286737,AC
gpt-4o-mini,halstead_volume,passing,AC,ACT+Debugger,"T,D",Compound,124,803.5,0.41174635785984137,1.0,False,-0.12185792349726776,small,-2.5547369518182563,ACT+Debugger
gpt-4o-mini,halstead_volume,passing,ACT,Debugger,"R,T,D",Compound,124,815.0,5.3888913531071356e-08,3.7722239471749947e-07,True,0.6425438596491229,large,17.414460711655224,ACT
gpt-4o-mini,halstead_volume,passing,ACT,AC+Debugger,T<->D,Swap,124,727.0,8.183869757480866e-09,6.547095805984693e-08,True,0.6811403508771929,large,20.126748332105777,ACT
gpt-4o-mini,halstead_volume,passing,ACT,ACT+Debugger,D,Single,124,773.0,0.050318714670613905,0.2811197087288828,False,-0.27925407925407925,small,-1.6500422849992162,ACT+Debugger
gpt-4o-mini,halstead_volume,passing,Debugger,AC+Debugger,R,Single,124,6.0,0.17629637444051116,0.7051854977620446,False,0.5714285714285714,large,2.712287620450553,Debugger
gpt-4o-mini,halstead_volume,passing,Debugger,ACT+Debugger,"R,T",Compound,124,685.5,7.007632357362814e-10,7.007632357362814e-09,True,-0.717377860235003,large,-19.06450299665444,ACT+Debugger
gpt-4o-mini,halstead_volume,passing,AC+Debugger,ACT+Debugger,T,Single,124,478.5,8.517619324159851e-12,1.1924667053823793e-10,True,-0.7986534820113612,large,-21.776790617104993,ACT+Debugger
gpt-4o-mini,halstead_difficulty,passing,Basic,AC,R,Single,124,390.0,9.272030519993904e-12,1.1126436623992685e-10,True,-0.8176718092566619,large,-0.8,AC
gpt-4o-mini,halstead_difficulty,passing,Basic,ACT,"R,T",Compound,124,521.0,6.112507749565201e-11,6.1125077495652e-10,True,-0.7714912280701754,large,-1.05,ACT
gpt-4o-mini,halstead_difficulty,passing,Basic,Debugger,D,Single,124,15.0,0.3742593192802244,1.0,False,-0.3333333333333333,moderate,-0.06666666666666665,Debugger
gpt-4o-mini,halstead_difficulty,passing,Basic,AC+Debugger,"R,D",Compound,124,26.0,0.8784817434328712,1.0,False,0.05454545454545454,negligible,0.0,Basic
gpt-4o-mini,halstead_difficulty,passing,Basic,ACT+Debugger,"R,T,D",Compound,124,418.5,1.7297430729198815e-12,2.4216403020878342e-11,True,-0.8239006942983379,large,-1.1333333333333335,ACT+Debugger
gpt-4o-mini,halstead_difficulty,passing,AC,ACT,T,Single,124,1008.5,0.8329403983466092,1.0,False,0.03028846153846154,negligible,-0.25,AC
gpt-4o-mini,halstead_difficulty,passing,AC,Debugger,R<->D,Swap,124,452.5,1.3292034707681948e-10,1.0633627766145558e-09,True,0.778998778998779,large,0.7333333333333334,AC
gpt-4o-mini,halstead_difficulty,passing,AC,AC+Debugger,D,Single,124,320.5,5.643888384338032e-12,7.337054899639442e-11,True,0.8399500624219726,large,0.8,AC
gpt-4o-mini,halstead_difficulty,passing,AC,ACT+Debugger,"T,D",Compound,124,546.0,0.039694733422838704,0.23816840053703223,False,-0.3157894736842105,moderate,-0.3333333333333335,ACT+Debugger
gpt-4o-mini,halstead_difficulty,passing,ACT,Debugger,"R,T,D",Compound,124,596.0,1.0659305310291381e-09,7.461513717203967e-09,True,0.7272935255090368,large,0.9833333333333334,ACT
gpt-4o-mini,halstead_difficulty,passing,ACT,AC+Debugger,T<->D,Swap,124,485.0,6.788122967096295e-11,6.1125077495652e-10,True,0.7780828185769847,large,1.05,ACT
gpt-4o-mini,halstead_difficulty,passing,ACT,ACT+Debugger,D,Single,124,678.0,0.05438734397917186,0.2719367198958593,False,-0.2829190904283448,small,-0.08333333333333348,ACT+Debugger
gpt-4o-mini,halstead_difficulty,passing,Debugger,AC+Debugger,R,Single,124,5.0,0.12819017434510785,0.5127606973804314,False,0.6428571428571429,large,0.06666666666666665,Debugger
gpt-4o-mini,halstead_difficulty,passing,Debugger,ACT+Debugger,"R,T",Compound,124,523.0,3.9778241405569527e-11,4.3756065546126477e-10,True,-0.7753436426116839,large,-1.0666666666666669,ACT+Debugger
gpt-4o-mini,halstead_difficulty,passing,AC+Debugger,ACT+Debugger,T,Single,124,324.0,3.5667360196240193e-13,5.350104029436029e-12,True,-0.8578947368421053,large,-1.1333333333333335,ACT+Debugger
gpt-4o-mini,halstead_effort,passing,Basic,AC,R,Single,124,573.0,6.471073526897044e-10,7.765288232276451e-09,True,-0.7378174330816747,large,-59.76282110210897,AC
gpt-4o-mini,halstead_effort,passing,Basic,ACT,"R,T",Compound,124,696.0,2.462200196540084e-09,2.5378338527715703e-08,True,-0.7010309278350515,large,-68.45062695544888,ACT
gpt-4o-mini,halstead_effort,passing,Basic,Debugger,D,Single,124,11.0,0.09260069782067576,0.5556041869240546,False,-0.6,large,-3.1597165791110626,Debugger
gpt-4o-mini,halstead_effort,passing,Basic,AC+Debugger,"R,D",Compound,124,27.0,0.5937116848746408,1.0,False,-0.18181818181818182,small,0.0,AC+Debugger
gpt-4o-mini,halstead_effort,passing,Basic,ACT+Debugger,"R,T,D",Compound,124,506.5,1.0445154873399703e-11,1.5667732310099556e-10,True,-0.7911770768913626,large,-76.46769454040941,ACT+Debugger
gpt-4o-mini,halstead_effort,passing,AC,ACT,T,Single,124,1058.0,0.7615592452011833,1.0,False,0.04296698326549073,negligible,-8.68780585333991,AC
gpt-4o-mini,halstead_effort,passing,AC,Debugger,R<->D,Swap,124,716.0,3.0063452945459745e-08,2.4050762356367796e-07,True,0.6652641421224872,large,56.60310452299791,AC
gpt-4o-mini,halstead_effort,passing,AC,AC+Debugger,D,Single,124,510.0,3.7179193283791165e-10,4.833295126892852e-09,True,0.7563306258958433,large,59.76282110210897,AC
gpt-4o-mini,halstead_effort,passing,AC,ACT+Debugger,"T,D",Compound,124,774.5,0.3009902220062448,0.9468942825514293,False,-0.153551912568306,small,-16.70487343830044,ACT+Debugger
gpt-4o-mini,halstead_effort,passing,ACT,Debugger,"R,T,D",Compound,124,860.0,1.357266795854386e-07,9.500867570980703e-07,True,0.6228070175438597,large,65.29091037633782,ACT
gpt-4o-mini,halstead_effort,passing,ACT,AC+Debugger,T<->D,Swap,124,738.0,1.041700461452883e-08,9.375304153075947e-08,True,0.6763157894736842,large,68.45062695544888,ACT
gpt-4o-mini,halstead_effort,passing,ACT,ACT+Debugger,D,Single,124,855.0,0.15520994652416606,0.7760497326208303,False,-0.20279720279720279,small,-8.017067584960529,ACT+Debugger
gpt-4o-mini,halstead_effort,passing,Debugger,AC+Debugger,R,Single,124,7.0,0.23672357063785732,0.9468942825514293,False,0.5,large,3.1597165791110626,Debugger
gpt-4o-mini,halstead_effort,passing,Debugger,ACT+Debugger,"R,T",Compound,124,739.5,2.307121684337791e-09,2.5378338527715703e-08,True,-0.6951144094001237,large,-73.30797796129835,ACT+Debugger
gpt-4o-mini,halstead_effort,passing,AC+Debugger,ACT+Debugger,T,Single,124,499.5,1.438290662420572e-11,2.013606927388801e-10,True,-0.7898169577109194,large,-76.46769454040941,ACT+Debugger
